observation,split,cumulative_gas_sm3,average_pressure_pa_absolute,z_dimensionless
0,training,0,25000000,0.9
1,training,50000000,23802228.80246152,0.903
2,training,100000000,22588185.86232159,0.906
3,training,150000000,21483368.85532792,0.909
4,training,200000000,20253242.64700123,0.912
5,training,250000000,19093717.22632217,0.915
6,training,300000000,17829513.37209242,0.918
7,training,350000000,16630855.11961905,0.921
8,training,400000000,15397676.47655697,0.924
9,holdout,450000000,14179825.9311888,0.927
10,holdout,500000000,12918098.85112794,0.93
11,holdout,550000000,11653177.32327171,0.9330000000000001
12,holdout,600000000,10435556.03847129,0.9360000000000001
