defect,kind,permeability_thickness_relative_error,permeability_relative_error,skin_absolute_error,r_squared,derivative_versus_fit_relative_difference,visible_without_truth,materially_wrong
none (baseline),reference,0.00000156407667509,0.00000156407667504,0.0000159437156459,0.999999999999,0.00000138347265584,,
window starts at t_D = 10,window,0.00519901775105,0.00519901775105,0.0319305038327,0.999993783197,0.00459611569281,true,true
duration one third of a decade,window,0.00000521659503704,0.00000521659503704,0.0000485499473828,1,0.00000119785890133,false,false
two points per decade,sampling,0.00000182946336042,0.00000182946336039,0.0000188125865215,0.999999999999,0.00000108784582003,false,false
time zero wrong by +0.5 hour,data,0.0870052658288,0.0870052658288,0.888447058445,0.998273272305,0.295415583729,true,true
drawdown sign flipped,data,0.00000156407667509,0.00000156407667504,18.220002222,0.999999999999,1.99999498934,true,true
rate 1.589x wrong (m3/d read as STB/D),metadata,0.589875486683,0.589875486683,0.231811125698,0.999999999999,0.00000138347265545,false,true
net thickness 1.5x too large,metadata,0.00000156407667521,0.333332290616,0.20274849777,0.999999999999,0.00000138347265603,false,true
radius entered as diameter,metadata,0.00000156407667509,0.00000156407667504,0.693163124276,0.999999999999,0.00000138347265584,false,true
porosity 0.18 read as 0.25,metadata,0.00000156407667509,0.00000156407667504,0.164267977202,0.999999999999,0.00000138347265584,false,true
viscosity 1.2 read as 0.9 cp,metadata,0.249998826942,0.249998826942,0.0000159437156459,0.999999999999,0.00000138347265584,false,true
