time_hours,derivative_psi,analytic_derivative_psi
1.1482708234,18.5323781538,18.5323785411
1.20242807135,18.5323836417,18.5323840116
1.2591396013,18.5323888825,18.5323892357
1.31852588387,18.5323938872,18.5323942245
1.38071307157,18.5323986665,18.5323989886
1.44583326676,18.5324032305,18.5324035381
1.51402480235,18.532407589,18.5324078828
1.58543253557,18.5324117512,18.5324120317
1.66020815573,18.5324157259,18.5324159938
1.73851050644,18.5324195216,18.5324197774
1.82050592306,18.5324231463,18.5324233906
1.90636858599,18.5324266078,18.5324268411
1.99628089073,18.5324299134,18.5324301362
2.09043383528,18.5324330701,18.5324332828
2.18902742594,18.5324360846,18.5324362877
2.29227110213,18.5324389633,18.5324391573
2.4003841813,18.5324417124,18.5324418977
2.51359632484,18.5324443377,18.5324445146
2.6321480259,18.5324468447,18.5324470136
2.75629112034,18.5324492388,18.5324494001
2.88628932162,18.5324515251,18.5324516792
3.02241878102,18.5324537084,18.5324538555
3.16496867429,18.5324557933,18.5324559339
3.31424181591,18.5324577844,18.5324579186
3.47055530234,18.5324596858,18.5324598139
3.63424118566,18.5324615015,18.5324616239
3.8056471789,18.5324632355,18.5324633524
3.98513739468,18.5324648914,18.532465003
4.1730931187,18.5324664726,18.5324665792
4.36991361969,18.5324679827,18.5324680845
4.57601699755,18.5324694248,18.532469522
4.79184107154,18.5324708019,18.5324708947
5.01784431027,18.532472117,18.5324722056
5.25450680568,18.5324733728,18.5324734574
5.50233129282,18.5324745721,18.5324746529
5.76184421785,18.5324757174,18.5324757945
6.03359685632,18.532476811,18.5324768848
6.31816648423,18.5324778555,18.5324779259
6.61615760434,18.5324788529,18.5324789201
6.92820323028,18.5324798053,18.5324798695
7.25496623123,18.5324807149,18.5324807762
7.59714074009,18.5324815835,18.532481642
7.95545362792,18.532482413,18.5324824689
8.33066604808,18.5324832051,18.5324832585
8.72357505311,18.5324839615,18.5324840125
9.13501528786,18.5324846839,18.5324847326
9.56586076251,18.5324853737,18.5324854202
10.0170267092,18.5324860325,18.5324860769
10.4894715264,18.5324866616,18.532486704
10.9841988143,18.5324872624,18.5324873028
11.5022595074,18.5324878361,18.5324878747
12.0447541066,18.5324883839,18.5324884208
12.6128350169,18.5324889071,18.5324889424
13.2077089956,18.5324894067,18.5324894404
13.8306397157,18.5324898838,18.532489916
14.4829504503,18.5324903395,18.5324903702
15.1660268836,18.5324907746,18.5324908039
15.8813200545,18.5324911901,18.5324912181
16.6303494388,18.5324915869,18.5324916136
17.4147061773,18.5324919658,18.5324919914
18.2360564556,18.5324923277,18.5324923521
19.0961450435,18.5324926732,18.5324926965
19.9967990015,18.5324930032,18.5324930255
20.9399315619,18.5324933184,18.5324933396
21.9275461929,18.5324936193,18.5324936396
22.9617408549,18.5324939067,18.5324939261
24.0447124565,18.5324941811,18.5324941996
25.1787615221,18.5324944432,18.5324944609
26.3662970781,18.5324946935,18.5324947104
27.6098417709,18.5324949325,18.5324949486
28.9120372252,18.5324951607,18.5324951761
30.275649656,18.5324953787,18.5324953934
31.7035757442,18.5324955868,18.5324956009
33.1988487908,18.5324957856,18.532495799
34.7646451594,18.5324959754,18.5324959882
36.4042910246,18.5324961567,18.5324961689
38.121269437,18.5324963298,18.5324963415
39.9192277225,18.5324964951,18.5324965062
41.8019852301,18.532496653,18.5324966636
