productivity_index_bbl_per_day_psi,observation_index,times_days,times_years,cumulative_gas_scf,cumulative_gas_bscf,pressure_psia,z_factor,p_over_z_psia,fitted_p_over_z_psia,residual_p_over_z_psia
0.05,0,0,0,0,0,4000,0.920768835948,4344.19568065,4343.44632949,0.749351160275
0.05,1,91.3125,0.25,1145833333.33,1.14583333333,3938.763641,0.917180348494,4294.4265514,4293.834331,0.592220402664
0.05,2,182.625,0.5,2291666666.67,2.29166666667,3878.49278262,0.913731796778,4244.67310462,4244.22233252,0.450772100232
0.05,3,273.9375,0.75,3437500000,3.4375,3819.15461389,0.910420552085,4194.93453344,4194.61033403,0.324199411065
0.05,4,365.25,1,4583333333.33,4.58333333333,3760.71734983,0.907244096957,4145.21005145,4144.99833554,0.211715912807
0.05,5,456.5625,1.25,5729166666.67,5.72916666667,3703.15018576,0.90420002142,4095.49889187,4095.38633706,0.112554813396
0.05,6,547.875,1.5,6875000000,6.875,3646.42325328,0.90128601928,4045.80030676,4045.77433857,0.025968194248
0.05,7,639.1875,1.75,8020833333.33,8.02083333333,3590.50757776,0.898499884483,3996.11356637,3996.16234008,-0.0487737164112
0.05,8,730.5,2,9166666666.67,9.16666666667,3535.37503721,0.895839507555,3946.43795836,3946.5503416,-0.11238323818
0.05,9,821.8125,2.25,10312500000,10.3125,3480.99832277,0.893302872113,3896.77278719,3896.93834311,-0.165555920788
0.05,10,913.125,2.5,11458333333.3,11.4583333333,3427.3509005,0.890888051438,3847.11737346,3847.32634462,-0.208971161743
0.05,11,1004.4375,2.75,12604166666.7,12.6041666667,3374.40697461,0.888593205125,3797.47105328,3797.71434614,-0.243292852029
0.05,12,1095.75,3,13750000000,13.75,3322.14145207,0.886416575806,3747.8331777,3748.10234765,-0.269169946438
0.05,13,1187.0625,3.25,14895833333.3,14.8958333333,3270.52990852,0.884356485942,3698.2031121,3698.49034916,-0.287237059675
0.05,14,1278.375,3.5,16041666666.7,16.0416666667,3219.54855548,0.882411334684,3648.58023569,3648.87835068,-0.298114990751
0.05,15,1369.6875,3.75,17187500000,17.1875,3169.17420885,0.880579594817,3598.96394091,3599.26635219,-0.302411280311
0.05,16,1461,4,18333333333.3,18.3333333333,3119.38425869,0.878859809761,3549.35363302,3549.6543537,-0.300720684705
0.05,17,1552.3125,4.25,19479166666.7,19.4791666667,3070.15664015,0.877250590665,3499.74872952,3500.04235522,-0.293625701876
0.05,18,1643.625,4.5,20625000000,20.625,3021.46980561,0.875750613561,3450.1486597,3450.43035673,-0.281697027365
0.05,19,1734.9375,4.75,21770833333.3,21.7708333333,2973.30269805,0.874358616603,3400.55286423,3400.81835824,-0.265494017893
0.05,20,1826.25,5,22916666666.7,22.9166666667,2925.63472543,0.873073397374,3350.96079463,3351.20635976,-0.245565130403
