productivity_index_bbl_per_day_psi,observation_index,times_days,times_years,cumulative_gas_scf,cumulative_gas_bscf,pressure_psia,z_factor,p_over_z_psia,fitted_p_over_z_psia,residual_p_over_z_psia
20,0,0,0,0,0,4000,0.920768835948,4344.19568065,4326.93819612,17.2574845277
20,1,91.3125,0.25,1145833333.33,1.14583333333,3942.41766652,0.917392114144,4297.41830755,4296.47180639,0.946501154715
20,2,182.625,0.5,2291666666.67,2.29166666667,3891.73523698,0.914482245112,4255.67063525,4266.00541666,-10.3347814106
20,3,273.9375,0.75,3437500000,3.4375,3846.25667253,0.911922390858,4217.74562298,4235.53902693,-17.7934039559
20,4,365.25,1,4583333333.33,4.58333333333,3804.7380827,0.909629002946,4182.73611591,4205.0726372,-22.3365212938
20,5,456.5625,1.25,5729166666.67,5.72916666667,3766.25246074,0.907541285711,4149.95165513,4174.60624747,-24.6545923431
20,6,547.875,1.5,6875000000,6.875,3730.10000284,0.905614382187,4118.86126834,4144.13985774,-25.2785894006
20,7,639.1875,1.75,8020833333.33,8.02083333333,3695.74687164,0.903814832184,4089.0531335,4113.67346801,-24.6203345125
20,8,730.5,2,9166666666.67,9.16666666667,3662.78232708,0.902117465301,4060.20553639,4083.20707828,-23.0015418964
20,9,821.8125,2.25,10312500000,10.3125,3630.88807679,0.900503227724,4032.06558844,4052.74068855,-20.6751001119
20,10,913.125,2.5,11458333333.3,11.4583333333,3599.8159699,0.898957632943,4004.43339929,4022.27429882,-17.8408995337
20,11,1004.4375,2.75,12604166666.7,12.6041666667,3569.3715187,0.897469639203,3977.1501595,3991.80790909,-14.6577495954
20,12,1095.75,3,13750000000,13.75,3539.40157165,0.896030824896,3950.08907429,3961.34151936,-11.2524450715
20,13,1187.0625,3.25,14895833333.3,14.8958333333,3509.78499479,0.89463477576,3923.14840635,3930.87512963,-7.72672328585
20,14,1278.375,3.5,16041666666.7,16.0416666667,3480.42556497,0.893276625039,3896.24609825,3900.4087399,-4.16264165189
20,15,1369.6875,3.75,17187500000,17.1875,3451.24651007,0.891952705643,3869.31559065,3869.94235017,-0.62675952194
20,16,1461,4,18333333333.3,18.3333333333,3422.18628841,0.890660285272,3842.30255351,3839.47596044,2.82659306639
20,17,1552.3125,4.25,19479166666.7,19.4791666667,3393.19530912,0.889397363625,3815.1623199,3809.00957071,6.15274918635
20,18,1643.625,4.5,20625000000,20.625,3364.2333723,0.888162516473,3787.85786374,3778.54318098,9.31468275877
20,19,1734.9375,4.75,21770833333.3,21.7708333333,3335.26766336,0.886954775361,3760.3582009,3748.07679125,12.2814096481
20,20,1826.25,5,22916666666.7,22.9166666667,3306.27117618,0.885773534578,3732.63712124,3717.61040152,15.026719715
20,21,1917.5625,5.25,24062500000,24.0625,3277.22146969,0.884618479088,3704.67218034,3687.14401179,17.5281685405
20,22,2008.875,5.5,25208333333.3,25.2083333333,3248.09968448,0.883489528678,3676.44389553,3656.67762207,19.7662734696
20,23,2100.1875,5.75,26354166666.7,26.3541666667,3218.88976292,0.882386794675,3647.93510323,3626.21123234,21.7238708955
20,24,2191.5,6,27500000000,27.5,3189.57782891,0.881310546463,3619.13044354,3595.74484261,23.3856009339
20,25,2282.8125,6.25,28645833333.3,28.6458333333,3160.15169299,0.880261185647,3590.01594585,3565.27845288,24.7374929766
20,26,2374.125,6.5,29791666666.7,29.7916666667,3130.60045615,0.87923922624,3560.57869431,3534.81206315,25.7666311675
20,27,2465.4375,6.75,30937500000,30.9375,3100.91419141,0.878245279554,3530.80655666,3504.34567342,26.4608832459
20,28,2556.75,7,32083333333.3,32.0833333333,3071.08368646,0.877280042851,3500.68796331,3473.87928369,26.8086796252
20,29,2648.0625,7.25,33229166666.7,33.2291666667,3041.10023464,0.876344290943,3470.21172622,3443.41289396,26.7988322643
20,30,2739.375,7.5,34375000000,34.375,3010.95546365,0.875438870179,3439.36688924,3412.94650423,26.4203850112
20,31,2830.6875,7.75,35520833333.3,35.5208333333,2980.64119406,0.874564694332,3408.14260326,3382.4801145,25.6624887616
20,32,2922,8,36666666666.7,36.6666666667,2950.14932095,0.873722742036,3376.52802086,3352.01372477,24.5142960967
20,33,3013.3125,8.25,37812500000,37.8125,2919.47171355,0.872914055505,3344.51220614,3321.54733504,22.964871104
20,34,3104.625,8.5,38958333333.3,38.9583333333,2888.60012867,0.872139740312,3312.0840562,3291.08094531,21.0031108906
20,35,3195.9375,8.75,40104166666.7,40.1041666667,2857.52613456,0.871400966068,3279.23223157,3260.61455558,18.6176759969
20,36,3287.25,9,41250000000,41.25,2826.24104247,0.870698967895,3245.94509317,3230.14816585,15.7969273266
20,37,3378.5625,9.25,42395833333.3,42.3958333333,2794.73584362,0.870035048596,3212.21064385,3199.68177612,12.5288677297
