productivity_index_bbl_per_day_psi,history_fraction,n_points,years_observed,r_squared,relative_gas_in_place_error,relative_stderr,depletion_fraction_observed
0,0.2,11,2.4,1,6.32827124036e-14,6.68699317524e-13,0.114583333333
0,0.4,20,4.8,1,-2.76001443922e-13,2.36290426952e-13,0.217708333333
0,0.6,30,7.2,1,-1.7719159473e-13,1.28489293068e-13,0.332291666667
0,0.8,39,9.6,1,-1.0502709813e-13,7.21955896673e-14,0.435416666667
0,1,49,12,1,-9.58122470252e-14,4.64095161036e-14,0.55
0.05,0.2,11,2.4,0.999999874142,0.00139143774427,0.000111571401518,0.114424119295
0.05,0.4,20,4.8,0.999999753616,0.00225007292721,0.000104573778697,0.217219573452
0.05,0.6,30,7.2,0.999999731187,0.00284506938723,0.0000823212081198,0.331348955896
0.05,0.8,39,9.6,0.999999800742,0.00311128895286,0.0000582273067087,0.434066161414
0.05,1,49,12,0.999999891495,0.00315765091055,0.0000357296068222,0.548268758655
0.2,0.2,11,2.4,0.999997998483,0.00556433615493,0.000445039943646,0.113949281228
0.2,0.4,20,4.8,0.999996095141,0.00899892275201,0.000416634995599,0.215766665776
0.2,0.6,30,7.2,0.999995747728,0.0113809340105,0.000327917375959,0.328552433107
0.2,0.8,39,9.6,0.999996847994,0.0124485141171,0.000232107456982,0.430063021078
0.2,1,49,12,0.99999828332,0.0126366642325,0.000142534331854,0.543136565588
0.6,0.2,11,2.4,0.999982279763,0.0166805250004,0.0013250645916,0.112703381756
0.6,0.4,20,4.8,0.999965763965,0.0269795457787,0.00123616025162,0.211988967286
0.6,0.6,30,7.2,0.999962953022,0.034131422331,0.000971759595821,0.321324407605
0.6,0.8,39,9.6,0.999972585257,0.0373443204643,0.000688502140616,0.419741698178
0.6,1,49,12,0.999985070249,0.0379185363081,0.000423523428196,0.529906713061
2,0.2,11,2.4,0.999814522196,0.0554125182263,0.00429647086163,0.108567343436
2,0.4,20,4.8,0.99965598338,0.0894980678548,0.00394454177712,0.199824432697
2,0.6,30,7.2,0.999640820558,0.113024142695,0.00306417517531,0.298548480595
2,0.8,39,9.6,0.999740495136,0.123431564879,0.00215692622868,0.387577383687
2,1,49,12,0.999859493376,0.125025506108,0.00132999841843,0.488877805004
6,0.2,11,2.4,0.998616620944,0.163574574551,0.01180197674,0.0984752811203
6,0.4,20,4.8,0.997822055587,0.259513850865,0.0100767233458,0.172851083125
6,0.6,30,7.2,0.998120940474,0.319644558308,0.00719381323576,0.251803915361
6,0.8,39,9.6,0.998855443839,0.340635899542,0.00469193986143,0.324783684232
6,1,49,12,0.999351874714,0.335903441507,0.00298421462288,0.411706402507
20,0.2,11,2.4,0.993002491628,0.486580242593,0.0269120245028,0.0770784718176
20,0.4,20,4.8,0.994941841547,0.670433323288,0.0157247723654,0.13033045396
20,0.6,30,7.2,0.998039742232,0.715615190226,0.00757974474255,0.193686596248
20,0.8,39,9.6,0.998776190803,0.689716721809,0.00503243938578,0.257686191447
20,1,49,12,0.99745134966,0.627350683936,0.00617112216711,0.337972635787
60,0.2,11,2.4,0.993477222439,0.918432879576,0.0262078310966,0.0597275695977
60,0.4,20,4.8,0.998597815514,0.976536742597,0.00835104423222,0.110146362899
60,0.6,30,7.2,0.998924879255,0.916350802464,0.00567143864274,0.173398141008
60,0.8,39,9.6,0.997677876286,0.837039132579,0.00701352963333,0.237020898981
60,1,49,12,0.995207151487,0.740051256945,0.00857476860304,0.316082642856
